time,TS_0cm,TS_5cm,TS_10cm,TS_15cm,TS_20cm,TS_40cm,TS_80cm,TS_160cm,TS_320cm
2023-06-02T00:00:00.0,22.8,26.2,26.7,26.7,26.4,25.9,23.4,20.3,18.4
2023-06-02T01:00:00.0,22.8,25.9,26.4,26.5,26.3,25.9,23.4,20.3,18.5
2023-06-02T02:00:00.0,22.8,25.6,26.2,26.3,26.2,25.9,23.4,20.3,18.5
2023-06-02T03:00:00.0,22.3,25.4,26.0,26.1,26.0,25.9,23.4,20.3,18.5
2023-06-02T04:00:00.0,22.0,25.1,25.8,26.0,25.9,25.9,23.4,20.3,18.5
2023-06-02T05:00:00.0,21.8,24.9,25.6,25.8,25.8,25.9,23.4,20.4,18.5
2023-06-02T06:00:00.0,22.3,24.7,25.4,25.6,25.7,25.9,23.5,20.4,18.5
2023-06-02T07:00:00.0,26.7,24.9,25.2,25.5,25.5,25.8,23.5,20.4,18.5
2023-06-02T08:00:00.0,28.8,25.5,25.3,25.4,25.4,25.8,23.5,20.4,18.5
2023-06-02T09:00:00.0,31.8,26.0,25.6,25.4,25.4,25.8,23.5,20.4,18.5
2023-06-02T10:00:00.0,44.8,26.9,25.9,25.5,25.4,25.7,23.5,20.4,18.5
2023-06-02T11:00:00.0,40.0,27.9,26.4,25.7,25.4,25.7,23.5,20.4,18.5
2023-06-02T12:00:00.0,33.9,27.5,26.7,26.0,25.5,25.7,23.5,20.4,18.5
2023-06-02T13:00:00.0,36.1,27.8,26.8,26.1,25.6,25.7,23.5,20.4,18.5
2023-06-02T14:00:00.0,38.2,28.0,27.0,26.3,25.7,25.7,23.5,20.4,18.5
2023-06-02T15:00:00.0,40.7,28.5,27.2,26.4,25.8,25.7,23.6,20.4,18.5
2023-06-02T16:00:00.0,35.7,28.5,27.4,26.6,25.9,25.7,23.6,20.4,18.5
2023-06-02T17:00:00.0,31.1,28.1,27.5,26.7,26.0,25.7,23.6,20.4,18.5
2023-06-02T18:00:00.0,29.5,27.7,27.4,26.8,26.1,25.7,23.6,20.4,18.5
2023-06-02T19:00:00.0,27.2,27.4,27.2,26.8,26.1,25.8,23.6,20.4,18.5
2023-06-02T20:00:00.0,26.3,27.0,27.0,26.7,26.1,25.8,23.6,20.4,18.5
2023-06-02T21:00:00.0,25.9,26.7,26.8,26.6,26.1,25.8,23.6,20.4,18.5
2023-06-02T22:00:00.0,25.3,26.2,26.6,26.5,26.1,25.9,23.6,20.4,18.5
2023-06-02T23:00:00.0,23.8,25.7,26.3,26.3,26.0,25.9,23.6,20.4,18.5
2023-06-03T00:00:00.0,24.0,25.3,26.0,26.1,26.0,25.9,23.6,20.4,18.5
2023-06-03T01:00:00.0,23.7,25.1,25.7,25.9,25.8,25.9,23.6,20.5,18.5
2023-06-03T02:00:00.0,23.5,24.8,25.5,25.7,25.7,25.9,23.6,20.5,18.5
2023-06-03T03:00:00.0,23.1,24.6,25.3,25.6,25.6,25.8,23.6,20.5,18.5
2023-06-03T04:00:00.0,22.9,24.5,25.1,25.4,25.5,25.8,23.6,20.5,18.5
2023-06-03T05:00:00.0,22.7,24.4,25.0,25.3,25.4,25.8,23.6,20.5,18.5
2023-06-03T06:00:00.0,22.7,24.2,24.9,25.1,25.3,25.7,23.6,20.5,18.5
2023-06-03T07:00:00.0,24.1,24.2,24.7,25.0,25.2,25.7,23.6,20.5,18.5
2023-06-03T08:00:00.0,25.1,24.3,24.7,24.9,25.1,25.6,23.6,20.5,18.5
2023-06-03T09:00:00.0,27.0,24.3,24.7,24.8,25.0,25.6,23.6,20.5,18.5
2023-06-03T10:00:00.0,29.7,24.7,24.7,24.8,24.9,25.6,23.7,20.5,18.5
2023-06-03T11:00:00.0,34.8,25.4,24.9,24.8,24.9,25.5,23.7,20.5,18.5
2023-06-03T12:00:00.0,37.9,26.2,25.3,25.0,24.9,25.5,23.7,20.5,18.5
2023-06-03T13:00:00.0,44.8,27.7,25.8,25.2,24.9,25.5,23.7,20.5,18.5
2023-06-03T14:00:00.0,35.7,27.4,26.3,25.5,25.0,25.5,23.7,20.5,18.5
2023-06-03T15:00:00.0,33.5,27.4,26.5,25.7,25.2,25.4,23.7,20.5,18.5
2023-06-03T16:00:00.0,35.9,27.4,26.5,25.9,25.3,25.4,23.7,20.5,18.5
2023-06-03T17:00:00.0,29.7,27.2,26.6,26.0,25.4,25.5,23.7,20.5,18.5
2023-06-03T18:00:00.0,27.0,26.7,26.5,26.1,25.5,25.5,23.7,20.5,18.5
2023-06-03T19:00:00.0,25.6,26.4,26.4,26.1,25.6,25.5,23.7,20.5,18.5
2023-06-03T20:00:00.0,24.6,26.0,26.2,26.0,25.6,25.5,23.7,20.5,18.5
2023-06-03T21:00:00.0,23.3,25.7,26.0,25.9,25.6,25.5,23.7,20.5,18.5
2023-06-03T22:00:00.0,23.4,25.3,25.7,25.7,25.5,25.5,23.7,20.5,18.5
2023-06-03T23:00:00.0,23.6,25.1,25.6,25.6,25.4,25.6,23.7,20.5,18.5
2023-06-04T00:00:00.0,23.0,24.9,25.4,25.5,25.4,25.6,23.7,20.6,18.5
2023-06-04T01:00:00.0,22.5,24.7,25.2,25.3,25.3,25.5,23.7,20.6,18.5
2023-06-04T02:00:00.0,22.2,24.5,25.0,25.2,25.2,25.5,23.7,20.6,18.5
2023-06-04T03:00:00.0,22.5,24.3,24.9,25.1,25.1,25.5,23.7,20.6,18.5
2023-06-04T04:00:00.0,22.4,24.2,24.7,25.0,25.0,25.5,23.7,20.6,18.5
2023-06-04T05:00:00.0,21.6,24.0,24.6,24.8,25.0,25.5,23.7,20.6,18.5
2023-06-04T06:00:00.0,22.9,23.9,24.5,24.7,24.9,25.4,23.7,20.6,18.5
2023-06-04T07:00:00.0,23.7,23.9,24.4,24.6,24.8,25.4,23.7,20.6,18.5
2023-06-04T08:00:00.0,25.7,24.1,24.4,24.5,24.7,25.3,23.7,20.6,18.5
2023-06-04T09:00:00.0,33.8,24.6,24.4,24.5,24.6,25.3,23.7,20.6,18.5
2023-06-04T10:00:00.0,43.2,25.7,24.7,24.5,24.6,25.3,23.7,20.6,18.5
2023-06-04T11:00:00.0,49.3,27.5,25.4,24.8,24.6,25.3,23.7,20.6,18.5
2023-06-04T12:00:00.0,53.6,29.2,26.3,25.2,24.7,25.2,23.7,20.6,18.5
2023-06-04T13:00:00.0,53.0,30.5,27.3,25.8,25.0,25.2,23.7,20.6,18.5
2023-06-04T14:00:00.0,43.4,30.6,28.0,26.4,25.3,25.3,23.7,20.6,18.5
2023-06-04T15:00:00.0,40.9,30.1,28.3,26.8,25.6,25.3,23.7,20.6,18.5
2023-06-04T16:00:00.0,40.8,29.9,28.4,27.1,25.9,25.3,23.7,20.6,18.6
2023-06-04T17:00:00.0,31.0,29.4,28.4,27.3,26.1,25.4,23.7,20.6,18.6
2023-06-04T18:00:00.0,26.7,28.5,28.1,27.3,26.2,25.5,23.7,20.6,18.6
2023-06-04T19:00:00.0,24.7,27.7,27.8,27.2,26.3,25.6,23.7,20.6,18.6
2023-06-04T20:00:00.0,24.0,27.1,27.4,27.1,26.3,25.6,23.7,20.6,18.5
2023-06-04T21:00:00.0,23.4,26.6,27.0,26.9,26.3,25.7,23.7,20.6,18.5
2023-06-04T22:00:00.0,22.7,26.2,26.7,26.6,26.2,25.7,23.7,20.6,18.5
2023-06-04T23:00:00.0,22.7,25.9,26.4,26.4,26.1,25.8,23.7,20.7,18.5
2023-06-05T00:00:00.0,22.6,25.5,26.1,26.3,26.0,25.8,23.7,20.7,18.5
2023-06-05T01:00:00.0,22.4,25.3,25.9,26.1,25.9,25.8,23.7,20.7,18.6
2023-06-05T02:00:00.0,22.0,25.0,25.7,25.9,25.8,25.8,23.7,20.7,18.6
2023-06-05T03:00:00.0,21.8,24.8,25.5,25.7,25.7,25.8,23.7,20.7,18.6
2023-06-05T04:00:00.0,21.3,24.6,25.3,25.5,25.6,25.8,23.7,20.7,18.6
2023-06-05T05:00:00.0,20.3,24.3,25.1,25.4,25.4,25.8,23.7,20.7,18.6
2023-06-05T06:00:00.0,20.4,24.1,24.9,25.2,25.3,25.8,23.7,20.7,18.6
2023-06-05T07:00:00.0,20.7,24.0,24.7,25.0,25.2,25.7,23.7,20.7,18.6
2023-06-05T08:00:00.0,22.0,23.9,24.5,24.9,25.1,25.7,23.7,20.7,18.6
2023-06-05T09:00:00.0,25.8,24.1,24.5,24.8,25.0,25.6,23.7,20.7,18.6
2023-06-05T10:00:00.0,26.3,24.3,24.5,24.7,24.9,25.6,23.7,20.7,18.6
2023-06-05T11:00:00.0,32.1,25.0,24.6,24.7,24.8,25.5,23.8,20.7,18.6
2023-06-05T12:00:00.0,34.3,26.3,25.1,24.8,24.8,25.5,23.8,20.7,18.6
2023-06-05T13:00:00.0,29.1,26.1,25.4,25.0,24.8,25.5,23.8,20.7,18.6
2023-06-05T14:00:00.0,25.1,25.5,25.4,25.1,24.9,25.4,23.8,20.7,18.6
2023-06-05T15:00:00.0,24.2,25.1,25.3,25.1,24.9,25.4,23.8,20.7,18.6
2023-06-05T16:00:00.0,25.9,25.0,25.1,25.1,24.9,25.4,23.8,20.7,18.6
2023-06-05T17:00:00.0,26.3,24.9,25.1,25.0,24.9,25.4,23.8,20.7,18.6
2023-06-05T18:00:00.0,24.3,24.8,25.0,25.0,24.9,25.4,23.8,20.7,18.6
2023-06-05T19:00:00.0,22.7,24.5,24.9,24.9,24.9,25.4,23.8,20.7,18.6
2023-06-05T20:00:00.0,21.2,24.3,24.7,24.8,24.8,25.4,23.8,20.7,18.6
2023-06-05T21:00:00.0,21.5,24.1,24.6,24.7,24.8,25.3,23.8,20.7,18.6
2023-06-05T22:00:00.0,21.1,23.9,24.4,24.6,24.7,25.3,23.8,20.7,18.6
2023-06-05T23:00:00.0,21.1,23.7,24.3,24.5,24.6,25.3,23.8,20.8,18.6
2023-06-06T00:00:00.0,20.8,23.6,24.2,24.4,24.6,25.3,23.8,20.8,18.6
2023-06-06T01:00:00.0,20.9,23.4,24.0,24.3,24.5,25.2,23.8,20.8,18.6
2023-06-06T02:00:00.0,20.8,23.3,23.9,24.2,24.4,25.2,23.8,20.8,18.6
2023-06-06T03:00:00.0,20.6,23.2,23.8,24.1,24.3,25.2,23.8,20.8,18.6
2023-06-06T04:00:00.0,20.6,23.0,23.7,24.0,24.2,25.1,23.8,20.8,18.6
2023-06-06T05:00:00.0,20.7,22.8,23.5,23.9,24.2,25.1,23.8,20.8,18.6
2023-06-06T06:00:00.0,21.2,22.8,23.4,23.8,24.1,25.0,23.8,20.8,18.6
2023-06-06T07:00:00.0,21.6,22.9,23.4,23.7,24.0,25.0,23.8,20.8,18.6
2023-06-06T08:00:00.0,22.4,23.1,23.4,23.6,23.9,25.0,23.8,20.8,18.6
2023-06-06T09:00:00.0,24.0,23.2,23.4,23.6,23.9,24.9,23.8,20.8,18.6
2023-06-06T10:00:00.0,25.2,23.5,23.5,23.6,23.8,24.9,23.8,20.8,18.6
2023-06-06T11:00:00.0,29.5,24.2,23.7,23.7,23.8,24.8,23.8,20.8,18.6
2023-06-06T12:00:00.0,36.0,25.3,24.1,23.8,23.8,24.8,23.8,20.8,18.6
2023-06-06T13:00:00.0,41.3,26.4,24.8,24.1,23.9,24.8,23.7,20.8,18.6
2023-06-06T14:00:00.0,38.1,27.3,25.4,24.5,24.0,24.7,23.7,20.8,18.6
2023-06-06T15:00:00.0,38.5,27.2,25.8,24.8,24.2,24.7,23.7,20.8,18.6
2023-06-06T16:00:00.0,41.8,27.2,26.0,25.1,24.4,24.8,23.7,20.8,18.6
2023-06-06T17:00:00.0,32.7,27.5,26.2,25.3,24.6,24.8,23.7,20.8,18.6
2023-06-06T18:00:00.0,26.6,26.5,26.2,25.5,24.8,24.8,23.7,20.8,18.6
2023-06-06T19:00:00.0,24.0,25.9,25.9,25.5,24.9,24.8,23.7,20.8,18.6
2023-06-06T20:00:00.0,22.0,25.3,25.6,25.4,24.9,24.9,23.7,20.8,18.6
2023-06-06T21:00:00.0,21.2,24.8,25.3,25.2,24.9,24.9,23.7,20.8,18.6
2023-06-06T22:00:00.0,20.8,24.4,25.0,25.1,24.8,24.9,23.7,20.8,18.6
2023-06-06T23:00:00.0,20.4,24.0,24.7,24.9,24.8,25.0,23.7,20.8,18.6
2023-06-07T00:00:00.0,20.2,23.7,24.5,24.7,24.7,25.0,23.7,20.8,18.6
2023-06-07T01:00:00.0,20.0,23.5,24.2,24.5,24.6,25.0,23.7,20.8,18.6
2023-06-07T02:00:00.0,19.9,23.3,24.0,24.3,24.5,25.0,23.7,20.9,18.6
2023-06-07T03:00:00.0,19.8,23.1,23.8,24.2,24.4,25.0,23.6,20.9,18.6
2023-06-07T04:00:00.0,19.8,22.9,23.7,24.0,24.3,24.9,23.6,20.9,18.6
2023-06-07T05:00:00.0,20.7,22.8,23.5,23.9,24.2,24.9,23.6,20.9,18.6
2023-06-07T06:00:00.0,21.4,22.8,23.4,23.8,24.1,24.9,23.6,20.9,18.6
2023-06-07T07:00:00.0,24.9,23.1,23.4,23.7,24.0,24.8,23.6,20.9,18.6
2023-06-07T08:00:00.0,26.5,23.7,23.5,23.7,23.9,24.8,23.6,20.9,18.6
2023-06-07T09:00:00.0,29.1,24.1,23.8,23.7,23.9,24.7,23.6,20.9,18.6
2023-06-07T10:00:00.0,26.6,24.2,24.0,23.8,23.9,24.7,23.6,20.9,18.6
2023-06-07T11:00:00.0,30.6,24.4,24.1,23.9,23.9,24.7,23.6,20.9,18.6
2023-06-07T12:00:00.0,40.9,25.2,24.3,24.0,23.9,24.6,23.6,20.9,18.7
2023-06-07T13:00:00.0,51.8,27.0,24.9,24.2,24.0,24.6,23.6,20.9,18.7
2023-06-07T14:00:00.0,42.3,27.7,25.7,24.6,24.1,24.6,23.6,20.9,18.7
2023-06-07T15:00:00.0,40.6,27.8,26.1,25.0,24.3,24.6,23.6,20.9,18.7
2023-06-07T16:00:00.0,37.4,27.9,26.4,25.3,24.5,24.7,23.6,20.9,18.7
2023-06-07T17:00:00.0,33.8,27.7,26.5,25.6,24.7,24.7,23.6,20.9,18.7
2023-06-07T18:00:00.0,29.7,27.2,26.5,25.7,24.9,24.7,23.6,20.9,18.7
2023-06-07T19:00:00.0,26.6,26.7,26.4,25.8,25.0,24.8,23.6,20.9,18.7
2023-06-07T20:00:00.0,24.9,26.2,26.1,25.7,25.1,24.8,23.6,20.9,18.7
2023-06-07T21:00:00.0,23.6,25.8,25.9,25.6,25.1,24.9,23.6,20.9,18.7
2023-06-07T22:00:00.0,23.6,25.4,25.7,25.5,25.1,24.9,23.6,20.9,18.7
2023-06-07T23:00:00.0,23.9,25.3,25.5,25.4,25.1,25.0,23.6,20.9,18.7
2023-06-08T00:00:00.0,23.7,25.1,25.3,25.3,25.0,25.0,23.6,20.9,18.7
2023-06-08T01:00:00.0,23.0,24.9,25.2,25.2,25.0,25.0,23.6,20.9,18.7
2023-06-08T02:00:00.0,22.3,24.7,25.0,25.0,24.9,25.0,23.5,20.9,18.7
2023-06-08T03:00:00.0,21.7,24.4,24.8,24.9,24.8,25.0,23.5,20.9,18.7
2023-06-08T04:00:00.0,21.6,24.1,24.6,24.8,24.8,25.0,23.5,20.9,18.7
2023-06-08T05:00:00.0,20.8,23.9,24.5,24.7,24.7,25.0,23.5,20.9,18.7
2023-06-08T06:00:00.0,21.7,23.7,24.3,24.5,24.6,25.0,23.5,20.9,18.7
2023-06-08T07:00:00.0,23.4,23.8,24.2,24.4,24.5,25.0,23.5,20.9,18.7
2023-06-08T08:00:00.0,25.5,24.0,24.2,24.3,24.4,25.0,23.6,20.9,18.7
2023-06-08T09:00:00.0,40.7,25.4,24.4,24.3,24.4,24.9,23.6,20.9,18.7
2023-06-08T10:00:00.0,51.2,27.3,25.2,24.5,24.4,24.9,23.6,20.9,18.7
